2014-03-20 07:38:01 status installed libdjvulibre21 3.5.24-9ubuntu0.1
2014-03-20 07:38:01 configure libgraph4 2.26.3-10ubuntu1.1 <none>
2014-03-20 07:38:01 status unpacked libgraph4 2.26.3-10ubuntu1.1
2014-03-20 07:38:01 status half-configured libgraph4 2.26.3-10ubuntu1.1
2014-03-20 07:38:02 status installed libgraph4 2.26.3-10ubuntu1.1
2014-03-20 07:38:02 configure libpathplan4 2.26.3-10ubuntu1.1 <none>
2014-03-20 07:38:02 status unpacked libpathplan4 2.26.3-10ubuntu1.1
2014-03-20 07:38:02 status half-configured libpathplan4 2.26.3-10ubuntu1.1
2014-03-20 07:38:02 status installed libpathplan4 2.26.3-10ubuntu1.1
2014-03-20 07:38:03 configure libgvc5 2.26.3-10ubuntu1.1 <none>
2014-03-20 07:38:03 status unpacked libgvc5 2.26.3-10ubuntu1.1
2014-03-20 07:38:03 status half-configured libgvc5 2.26.3-10ubuntu1.1
2014-03-20 07:38:04 status installed libgvc5 2.26.3-10ubuntu1.1
2014-03-20 07:38:05 configure libilmbase6 1.0.1-3build2 <none>
2014-03-20 07:38:05 status unpacked libilmbase6 1.0.1-3build2
2014-03-20 07:38:05 status half-configured libilmbase6 1.0.1-3build2
2014-03-20 07:38:05 status installed libilmbase6 1.0.1-3build2
2014-03-20 07:38:05 configure libopenexr6 1.6.1-4.1 <none>
2014-03-20 07:38:05 status unpacked libopenexr6 1.6.1-4.1
2014-03-20 07:38:06 status half-configured libopenexr6 1.6.1-4.1
2014-03-20 07:38:06 status installed libopenexr6 1.6.1-4.1
2014-03-20 07:38:06 configure libmagickcore4-extra 8:6.6.9.7-5ubuntu3.3 <none>
2014-03-20 07:38:06 status unpacked libmagickcore4-extra 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:38:06 status half-configured libmagickcore4-extra 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:38:06 status installed libmagickcore4-extra 8:6.6.9.7-5ubuntu3.3
2014-03-20 07:38:07 configure libnetpbm10 2:10.0-15 <none>
2014-03-20 07:38:07 status unpacked libnetpbm10 2:10.0-15
2014-03-20 07:38:07 status half-configured libnetpbm10 2:10.0-15
2014-03-20 07:38:07 status installed libnetpbm10 2:10.0-15
2014-03-20 07:38:07 configure netpbm 2:10.0-15 <none>
2014-03-20 07:38:07 status unpacked netpbm 2:10.0-15
2014-03-20 07:38:08 status half-configured netpbm 2:10.0-15
2014-03-20 07:38:08 status installed netpbm 2:10.0-15
2014-03-20 07:38:08 trigproc libc-bin 2.15-0ubuntu10.5 <none>
2014-03-20 07:38:08 status half-configured libc-bin 2.15-0ubuntu10.5
2014-03-20 07:38:09 status installed libc-bin 2.15-0ubuntu10.5
2014-03-24 11:15:14 startup archives unpack
2014-03-24 11:15:17 install sysstat <none> 10.0.3-1
2014-03-24 11:15:17 status half-installed sysstat 10.0.3-1
2014-03-24 11:15:18 status triggers-pending man-db 2.6.1-2ubuntu1
2014-03-24 11:15:18 status half-installed sysstat 10.0.3-1
2014-03-24 11:15:18 status triggers-pending ureadahead 0.100.0-12
2014-03-24 11:15:18 status half-installed sysstat 10.0.3-1
2014-03-24 11:15:18 status unpacked sysstat 10.0.3-1
2014-03-24 11:15:18 status unpacked sysstat 10.0.3-1
2014-03-24 11:15:18 trigproc man-db 2.6.1-2ubuntu1 2.6.1-2ubuntu1
2014-03-24 11:15:18 status half-configured man-db 2.6.1-2ubuntu1
2014-03-24 11:15:20 status installed man-db 2.6.1-2ubuntu1
2014-03-24 11:15:20 trigproc ureadahead 0.100.0-12 0.100.0-12
2014-03-24 11:15:20 status half-configured ureadahead 0.100.0-12
2014-03-24 11:15:20 status installed ureadahead 0.100.0-12
2014-03-24 11:15:21 startup packages configure
2014-03-24 11:15:21 configure sysstat 10.0.3-1 <none>
2014-03-24 11:15:21 status unpacked sysstat 10.0.3-1
2014-03-24 11:15:21 status unpacked sysstat 10.0.3-1
2014-03-24 11:15:21 status unpacked sysstat 10.0.3-1
2014-03-24 11:15:21 status unpacked sysstat 10.0.3-1
2014-03-24 11:15:21 status unpacked sysstat 10.0.3-1
2014-03-24 11:15:21 status unpacked sysstat 10.0.3-1
2014-03-24 11:15:21 status half-configured sysstat 10.0.3-1
2014-03-24 11:15:23 status installed sysstat 10.0.3-1
