级别	日期和时间	来源	事件 ID	任务类别
信息	2013/12/11 9:42:55	Microsoft-Windows-Servicing	2	无	已将程序包 KB2894844 成功更改为 已安装 状态。
信息	2013/12/11 9:42:55	Microsoft-Windows-Servicing	2	无	已将程序包 KB2893984 成功更改为 已安装 状态。
信息	2013/12/11 9:42:55	Microsoft-Windows-Servicing	2	无	已将程序包 KB2893294 成功更改为 已安装 状态。
信息	2013/12/11 9:42:55	Microsoft-Windows-Servicing	2	无	已将程序包 KB2892074 成功更改为 已安装 状态。
信息	2013/12/11 9:42:55	Microsoft-Windows-Servicing	2	无	已将程序包 KB2887069 成功更改为 已安装 状态。
信息	2013/12/11 9:34:08	Microsoft-Windows-WUSA	2	无	"已成功安装 Windows 更新 ""Windows 安全更新程序 (KB2898785)""。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\IE11-Windows6.1-KB2898785-x86.msu"" /quiet /norestart”)"
警告	2013/12/11 9:34:07	Microsoft-Windows-WUSA	4	无	"Windows 更新 Windows 安全更新程序 (KB2898785) 需要重新启动计算机才能完成安装。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\IE11-Windows6.1-KB2898785-x86.msu"" /quiet /norestart”)"
信息	2013/12/11 9:34:07	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2898785 更改为 已安装 状态。
信息	2013/12/11 9:33:32	Microsoft-Windows-Servicing	1	无	启动程序包 KB2898785 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2013/12/11 9:31:16	Microsoft-Windows-Servicing	3	无	将程序包 KB2891804 更改为 已暂存 状态失败。状态为: 0x800f0816。
信息	2013/12/11 9:31:09	Microsoft-Windows-Servicing	1	无	启动程序包 KB2891804 的更改。当前状态为 不存在。目标状态为 已暂存。客户端 ID: WindowsUpdateAgent。
信息	2013/12/11 9:31:04	Microsoft-Windows-Servicing	3	无	将程序包 KB2913152 更改为 已暂存 状态失败。状态为: 0x800f0816。
信息	2013/12/11 9:30:57	Microsoft-Windows-Servicing	1	无	启动程序包 KB2913152 的更改。当前状态为 不存在。目标状态为 已暂存。客户端 ID: WindowsUpdateAgent。
信息	2013/12/11 9:29:04	Microsoft-Windows-Servicing	3	无	将程序包 KB2904266 更改为 已暂存 状态失败。状态为: 0x800f0816。
信息	2013/12/11 9:28:49	Microsoft-Windows-Servicing	1	无	启动程序包 KB2904266 的更改。当前状态为 不存在。目标状态为 已暂存。客户端 ID: WindowsUpdateAgent。
信息	2013/12/11 9:27:47	Microsoft-Windows-WUSA	2	无	"已成功安装 Windows 更新 ""Windows 安全更新程序 (KB2894844)""。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2894844-x86.msu"" /quiet /norestart”)"
警告	2013/12/11 9:27:47	Microsoft-Windows-WUSA	4	无	"Windows 更新 Windows 安全更新程序 (KB2894844) 需要重新启动计算机才能完成安装。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2894844-x86.msu"" /quiet /norestart”)"
信息	2013/12/11 9:27:46	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2894844 更改为 已安装 状态。
信息	2013/12/11 9:27:34	Microsoft-Windows-Servicing	1	无	启动程序包 KB2894844 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2013/12/11 9:26:56	Microsoft-Windows-WUSA	2	无	"已成功安装 Windows 更新 ""Windows 安全更新程序 (KB2893984)""。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2893984-x86.msu"" /quiet /norestart”)"
警告	2013/12/11 9:26:56	Microsoft-Windows-WUSA	4	无	"Windows 更新 Windows 安全更新程序 (KB2893984) 需要重新启动计算机才能完成安装。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2893984-x86.msu"" /quiet /norestart”)"
信息	2013/12/11 9:26:55	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2893984 更改为 已安装 状态。
信息	2013/12/11 9:26:52	Microsoft-Windows-Servicing	1	无	启动程序包 KB2893984 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2013/12/11 9:26:14	Microsoft-Windows-WUSA	2	无	"已成功安装 Windows 更新 ""Windows 安全更新程序 (KB2893294)""。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2893294-x86.msu"" /quiet /norestart”)"
警告	2013/12/11 9:26:14	Microsoft-Windows-WUSA	4	无	"Windows 更新 Windows 安全更新程序 (KB2893294) 需要重新启动计算机才能完成安装。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2893294-x86.msu"" /quiet /norestart”)"
信息	2013/12/11 9:26:13	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2893294 更改为 已安装 状态。
信息	2013/12/11 9:26:03	Microsoft-Windows-Servicing	1	无	启动程序包 KB2893294 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2013/12/11 9:24:56	Microsoft-Windows-WUSA	2	无	"已成功安装 Windows 更新 ""Windows 安全更新程序 (KB2892074)""。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2892074-x86.msu"" /quiet /norestart”)"
警告	2013/12/11 9:24:56	Microsoft-Windows-WUSA	4	无	"Windows 更新 Windows 安全更新程序 (KB2892074) 需要重新启动计算机才能完成安装。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2892074-x86.msu"" /quiet /norestart”)"
信息	2013/12/11 9:24:47	Microsoft-Windows-Servicing	1	无	启动程序包 KB2892074 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2013/12/11 9:23:21	Microsoft-Windows-WUSA	2	无	"已成功安装 Windows 更新 ""Windows 安全更新程序 (KB2887069)""。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2887069-x86.msu"" /quiet /norestart”)"
警告	2013/12/11 9:23:21	Microsoft-Windows-WUSA	4	无	"Windows 更新 Windows 安全更新程序 (KB2887069) 需要重新启动计算机才能完成安装。(命令行:“C:\Windows\system32\wusa.exe ""C:\Program Files\360\360safe\hotfix\Windows6.1-KB2887069-x86.msu"" /quiet /norestart”)"
信息	2013/12/11 9:23:12	Microsoft-Windows-Servicing	4	无	必须先重新启动计算机，然后才能将程序包 KB2887069 更改为 已安装 状态。
信息	2013/12/11 9:22:22	Microsoft-Windows-Servicing	1	无	启动程序包 KB2887069 的更改。当前状态为 不存在。目标状态为 已安装。客户端 ID: WindowsUpdateAgent。
信息	2013/11/26 19:16:55	Microsoft-Windows-Servicing	2	无	已将程序包 KB2849697 成功更改为 已安装 状态。
信息	2013/11/26 19:16:55	Microsoft-Windows-Servicing	2	无	已将程序包 KB2849696 成功更改为 已安装 状态。
信息	2013/11/26 19:16:55	Microsoft-Windows-Servicing	2	无	已将程序包 KB2841134 成功更改为 已安装 状态。
